		X                 	 Y 		              Z
-5.216296657882820E-03 -5.139436247090928E-03 1.708593667133784E-04
-5.209016714173012E-03 -5.142220343801174E-03 1.707355158009324E-04
-5.201737341990889E-03 -5.144993021929184E-03 1.706116992268706E-04
-5.194458584966396E-03 -5.147754373946438E-03 1.704879158056719E-04
-5.187180480257157E-03 -5.150504492196930E-03 1.703641638472031E-04
-5.179903059047126E-03 -5.153243468220693E-03 1.702404412551743E-04
-5.172626347097250E-03 -5.155971392234599E-03 1.701167456174794E-04
-5.165350365283848E-03 -5.158688352762535E-03 1.699930742831538E-04
-5.158075130133739E-03 -5.161394436381186E-03 1.698694244295552E-04
-5.150800654316739E-03 -5.164089727568642E-03 1.697457931171928E-04
-5.143526947093162E-03 -5.166774308631461E-03 1.696221773339883E-04
-5.136254014710690E-03 -5.169448259691493E-03 1.694985740299799E-04
-5.128981860750243E-03 -5.172111658715938E-03 1.693749801437874E-04
-5.121710486422844E-03 -5.174764581577236E-03 1.692513926221195E-04
-5.114439890821150E-03 -5.177407102132043E-03 1.691278084335481E-04
-5.107170071130226E-03 -5.180039292310917E-03 1.690042245776388E-04
-5.099901022802458E-03 -5.182661222212447E-03 1.688806380904250E-04
-5.092632739701512E-03 -5.185272960197198E-03 1.687570460470354E-04
-5.085365214219847E-03 -5.187874572978317E-03 1.686334455621566E-04
-5.078098437373897E-03 -5.190466125706719E-03 1.685098337888877E-04
-5.070832398880528E-03 -5.193047682049529E-03 1.683862079164166E-04
-5.063567087218143E-03 -5.195619304260973E-03 1.682625651668991E-04
-5.056302489675319E-03 -5.198181053245350E-03 1.681389027918459E-04
-5.049038592388754E-03 -5.200732988612484E-03 1.680152180681399E-04
-5.041775380373210E-03 -5.203275168725392E-03 1.678915082939643E-04
-5.034512837544602E-03 -5.205807650740842E-03 1.677677707846785E-04
-5.027250946737779E-03 -5.208330490643147E-03 1.676440028687820E-04
-5.019989689720070E-03 -5.210843743271640E-03 1.675202018840026E-04
-5.012729047201509E-03 -5.213347462342362E-03 1.673963651735773E-04
-5.005468998842450E-03 -5.215841700464370E-03 1.672724900827362E-04
-4.998209523259182E-03 -5.218326509151158E-03 1.671485739554288E-04
-4.990950598027975E-03 -5.220801938827539E-03 1.670246141312912E-04
-4.983692199687926E-03 -5.223268038832393E-03 1.669006079428561E-04
-4.976434303742896E-03 -5.225724857417558E-03 1.667765527130309E-04
-4.969176884662711E-03 -5.228172441743149E-03 1.666524457528063E-04
-4.961919915883803E-03 -5.230610837869503E-03 1.665282843592324E-04
-4.954663369809396E-03 -5.233040090745916E-03 1.664040658136302E-04
-4.947407217809294E-03 -5.235460244196280E-03 1.662797873800583E-04
-4.940151430219326E-03 -5.237871340901676E-03 1.661554463040197E-04
-4.932895976340493E-03 -5.240273422379911E-03 1.660310398114330E-04
-4.925640824437819E-03 -5.242666528961979E-03 1.659065651078540E-04
-4.918385941738921E-03 -5.245050699765281E-03 1.657820193779797E-04
-4.911131294432359E-03 -5.247425972663458E-03 1.656573997854319E-04
-4.903876847665775E-03 -5.249792384252618E-03 1.655327034728786E-04
-4.896622565543918E-03 -5.252149969813604E-03 1.654079275624823E-04
-4.889368411126659E-03 -5.254498763269961E-03 1.652830691567572E-04
-4.882114346427159E-03 -5.256838797141136E-03 1.651581253398650E-04
-4.874860332410457E-03 -5.259170102490377E-03 1.650330931794283E-04
-4.867606328992779E-03 -5.261492708866725E-03 1.649079697289379E-04
-4.860352295042044E-03 -5.263806644240363E-03 1.647827520308543E-04
-4.853098188380158E-03 -5.266111934930563E-03 1.646574371205305E-04
-4.845843965787879E-03 -5.268408605525348E-03 1.645320220310906E-04
-4.838589583013284E-03 -5.270696678791920E-03 1.644065037994444E-04
-4.831334994785133E-03 -5.272976175576875E-03 1.642808794736300E-04
-4.824080154832733E-03 -5.275247114695111E-03 1.641551461217320E-04
-4.816825015914665E-03 -5.277509512806879E-03 1.640293008426309E-04
-4.809569529858188E-03 -5.279763384280938E-03 1.639033407789124E-04
-4.802313647613630E-03 -5.282008741044771E-03 1.637772631322647E-04
-4.795057319326636E-03 -5.284245592420239E-03 1.636510651817598E-04
-4.787800494433159E-03 -5.286473944945051E-03 1.635247443054260E-04
-4.780543121782786E-03 -5.288693802181325E-03 1.633982980055298E-04
-4.773285149796556E-03 -5.290905164513107E-03 1.632717239379819E-04
-4.766026526666224E-03 -5.293108028936219E-03 1.631450199462176E-04
-4.758767200602639E-03 -5.295302388845798E-03 1.630181840998360E-04
-4.751507120141297E-03 -5.297488233829563E-03 1.628912147380602E-04
-4.744246234512914E-03 -5.299665549477930E-03 1.627641105178460E-04
-4.736984494085711E-03 -5.301834317225715E-03 1.626368704660410E-04
-4.729721850883763E-03 -5.303994514243951E-03 1.625094940344786E-04
